date,name,percentage
2016-02-01,Other,0.1243
2016-03-01,AMD,0.1714
2016-03-01,ATI,0.0278
2016-03-01,Intel,0.1797
2016-03-01,NVIDIA,0.49829999999999997
2016-03-01,Other,0.1208
2016-04-01,AMD,0.1661
2016-04-01,ATI,0.0275
2016-04-01,Intel,0.18
2016-04-01,NVIDIA,0.499
2016-04-01,Other,0.1248
2016-05-01,AMD,0.1689
2016-05-01,ATI,0.0308
2016-05-01,Intel,0.1785
2016-05-01,NVIDIA,0.499
2016-05-01,Other,0.1206
2016-06-01,AMD,0.1625
2016-06-01,ATI,0.0302
2016-06-01,Intel,0.1764
2016-06-01,NVIDIA,0.4969
2016-06-01,Other,0.1344
2016-07-01,AMD,0.1603
2016-07-01,ATI,0.0276
2016-07-01,Intel,0.1738
2016-07-01,NVIDIA,0.4988
2016-07-01,Other,0.1395
2016-08-01,AMD,0.1566
2016-08-01,ATI,0.024999999999999998
2016-08-01,Intel,0.1724
2016-08-01,NVIDIA,0.5059
2016-08-01,Other,0.1405
2016-10-01,AMD,0.1479
2016-10-01,ATI,0.0219
2016-10-01,Intel,0.1759
2016-10-01,NVIDIA,0.5059
2016-10-01,Other,0.1489
2016-11-01,AMD,0.1426
2016-11-01,ATI,0.0198
2016-11-01,Intel,0.1719
2016-11-01,NVIDIA,0.5105
2016-11-01,Other,0.1555
2016-12-01,AMD,0.1462
2016-12-01,ATI,0.019
2016-12-01,Intel,0.1743
2016-12-01,NVIDIA,0.5165
2016-12-01,Other,0.1435
2017-08-01,AMD,0.1181
2017-08-01,ATI,0.009000000000000001
2017-08-01,Intel,0.1247
2017-08-01,NVIDIA,0.6205
2017-08-01,Other,0.1271
2017-09-01,NVIDIA,0.2009
2017-09-01,Other,0.7991
2017-10-01,AMD,0.0586
2017-10-01,ATI,0.0033
2017-10-01,Intel,0.0726
2017-10-01,NVIDIA,0.7496
2017-10-01,Other,0.1161
2017-11-01,AMD,0.0435
2017-11-01,Intel,0.059500000000000004
2017-11-01,NVIDIA,0.7898000000000001
2017-11-01,Other,0.1071
2017-12-01,AMD,0.0451
2017-12-01,Intel,0.0567
2017-12-01,NVIDIA,0.7884
2017-12-01,Other,0.1101
2018-01-01,AMD,0.0389
2018-01-01,Intel,0.0472
2018-01-01,NVIDIA,0.8093
2018-01-01,Other,0.1046
2018-02-01,AMD,0.0426
2018-02-01,Intel,0.0535
2018-02-01,NVIDIA,0.7853
2018-02-01,Other,0.1187
2018-03-01,AMD,0.0595
2018-03-01,ATI,0.0016
2018-03-01,Intel,0.0635
2018-03-01,NVIDIA,0.7508
2018-03-01,Other,0.1243
2018-04-01,AMD,0.0938
2018-04-01,ATI,0.0060999999999999995
2018-04-01,Intel,0.0997
2018-04-01,NVIDIA,0.6829
2018-04-01,Other,0.1174
2018-05-01,AMD,0.0956
2018-05-01,ATI,0.0064
2018-05-01,Intel,0.1053
2018-05-01,NVIDIA,0.6728000000000001
2018-05-01,Other,0.1196
2018-06-01,AMD,0.094
2018-06-01,ATI,0.0062
2018-06-01,Intel,0.1048
2018-06-01,NVIDIA,0.6755
2018-06-01,Other,0.1189
2018-07-01,AMD,0.0862
2018-07-01,ATI,0.0055
2018-07-01,Intel,0.0959
2018-07-01,NVIDIA,0.697
2018-07-01,Other,0.1153
2018-08-01,AMD,0.0927
2018-08-01,ATI,0.0058
2018-08-01,Intel,0.1071
2018-08-01,NVIDIA,0.6792
2018-08-01,Other,0.1153
2018-09-01,AMD,0.0886
2018-09-01,ATI,0.0053
2018-09-01,Intel,0.1047
2018-09-01,NVIDIA,0.6904
2018-09-01,Other,0.1086
2018-10-01,AMD,0.0869
2018-10-01,ATI,0.0049
2018-10-01,Intel,0.0989
2018-10-01,NVIDIA,0.6953
2018-10-01,Other,0.1126
2018-11-01,AMD,0.0927
2018-11-01,ATI,0.0052
2018-11-01,Intel,0.1122
2018-11-01,NVIDIA,0.6757
2018-11-01,Other,0.112
2018-12-01,AMD,0.0915
2018-12-01,ATI,0.0054
2018-12-01,Intel,0.1149
2018-12-01,NVIDIA,0.6688999999999999
2018-12-01,Other,0.1167
2019-01-01,AMD,0.0969
2019-01-01,ATI,0.0053
2019-01-01,Intel,0.1156
2019-01-01,NVIDIA,0.6649999999999999
2019-01-01,Other,0.1153
2019-02-01,AMD,0.0904
2019-02-01,ATI,0.0048000000000000004
2019-02-01,Intel,0.108
2019-02-01,NVIDIA,0.6783
2019-02-01,Other,0.116
2019-03-01,AMD,0.09129999999999999
2019-03-01,ATI,0.0049
2019-03-01,Intel,0.11069999999999999
2019-03-01,NVIDIA,0.6729
2019-03-01,Other,0.1179
2019-04-01,AMD,0.0948
2019-04-01,ATI,0.0031000000000000003
2019-04-01,Intel,0.10350000000000001
2019-04-01,NVIDIA,0.6797
2019-04-01,Other,0.1163
2019-05-01,AMD,0.0941
2019-05-01,ATI,0.0016
2019-05-01,Intel,0.1084
2019-05-01,NVIDIA,0.675
2019-05-01,Other,0.1182
2019-06-01,AMD,0.0946
2019-06-01,ATI,0.0015
2019-06-01,Intel,0.092
2019-06-01,NVIDIA,0.6948
2019-06-01,Other,0.1146
2019-07-01,AMD,0.0915
2019-07-01,Intel,0.1008
2019-07-01,NVIDIA,0.6869999999999999
2019-07-01,Other,0.1182
2019-08-01,AMD,0.0923
2019-08-01,Intel,0.10049999999999999
2019-08-01,NVIDIA,0.6821
2019-08-01,Other,0.1207
2019-09-01,AMD,0.0994
2019-09-01,Intel,0.1003
2019-09-01,NVIDIA,0.6843
2019-09-01,Other,0.1137
2019-10-01,AMD,0.0996
2019-10-01,Intel,0.0979
2019-10-01,NVIDIA,0.6859
2019-10-01,Other,0.1142
2019-11-01,AMD,0.0994
2019-11-01,Intel,0.0957
2019-11-01,NVIDIA,0.6919
2019-11-01,Other,0.1109
2019-12-01,AMD,0.09559999999999999
2019-12-01,Intel,0.0955
